iter	Passed	Remaining
0	6	33864
1	10	25712
2	13	23170
3	17	21597
4	21	21035
5	24	20532
6	28	20121
7	31	19643
8	34	19335
9	38	19189
10	41	18991
11	45	18967
12	49	18919
13	52	18803
14	55	18577
15	59	18495
16	62	18371
17	65	18225
18	68	18055
19	72	18109
20	76	18142
21	80	18125
22	83	18009
23	86	17954
24	89	17853
25	93	17905
26	96	17746
27	100	17795
28	103	17743
29	106	17701
30	109	17617
31	113	17581
32	116	17552
33	120	17537
34	123	17546
35	127	17526
36	130	17503
37	133	17496
38	141	17989
39	144	17894
40	147	17860
41	151	17841
42	154	17802
43	157	17771
44	161	17778
45	164	17728
46	168	17755
47	171	17724
48	175	17725
49	178	17712
50	182	17722
51	185	17655
52	188	17634
53	192	17623
54	195	17567
55	199	17592
56	202	17536
57	205	17550
58	208	17501
59	212	17509
60	215	17465
61	219	17455
62	222	17444
63	225	17415
64	228	17381
65	232	17366
66	235	17359
67	239	17354
68	242	17324
69	245	17287
70	248	17276
71	252	17253
72	255	17226
73	258	17235
74	262	17215
75	265	17200
76	269	17199
77	272	17199
78	275	17180
79	279	17173
80	282	17141
81	285	17138
82	288	17104
83	292	17094
84	295	17109
85	299	17094
86	302	17076
87	305	17034
88	308	17026
89	311	17011
90	314	16985
91	318	16984
92	321	16957
93	324	16951
94	328	16939
95	331	16949
96	335	16945
97	338	16951
98	342	16954
99	345	16951
100	349	16946
101	353	16966
102	357	16990
103	360	16992
104	365	17027
105	369	17045
106	373	17065
107	377	17081
108	380	17091
109	384	17099
110	387	17086
111	391	17093
112	395	17095
113	398	17070
114	401	17052
115	405	17055
116	408	17030
117	411	17021
118	414	17002
119	417	16982
120	420	16966
121	423	16942
122	426	16929
123	430	16928
124	433	16916
125	437	16906
126	440	16903
127	443	16899
128	447	16892
129	450	16888
130	453	16865
131	457	16864
132	460	16858
133	464	16857
134	467	16852
135	471	16849
136	474	16843
137	477	16835
138	481	16836
139	484	16835
140	488	16824
141	491	16822
142	495	16815
143	498	16793
144	501	16784
145	504	16782
146	507	16768
147	511	16768
148	514	16750
149	517	16742
150	521	16738
151	524	16743
152	528	16737
153	531	16729
154	535	16732
155	538	16725
156	542	16726
157	545	16722
158	549	16724
159	552	16712
160	555	16709
161	559	16699
162	562	16682
163	565	16679
164	569	16680
165	572	16675
166	576	16685
167	580	16688
168	584	16715
169	588	16709
170	591	16716
171	595	16725
172	599	16727
173	603	16728
174	606	16723
175	610	16720
176	613	16713
177	616	16696
178	619	16688
179	622	16676
180	626	16673
181	629	16675
182	633	16681
183	636	16670
184	640	16661
185	643	16660
186	646	16643
187	649	16634
188	653	16629
189	656	16618
190	660	16621
191	663	16611
192	666	16603
193	670	16603
194	673	16599
195	676	16590
196	680	16582
197	683	16574
198	686	16566
199	690	16561
200	693	16560
201	697	16557
202	700	16546
203	703	16548
204	707	16545
205	710	16538
206	713	16529
207	717	16538
208	721	16528
209	724	16527
210	728	16524
211	731	16528
212	735	16518
213	738	16515
214	741	16503
215	744	16499
216	748	16500
217	751	16491
218	763	16661
219	766	16647
220	770	16652
221	773	16642
222	777	16648
223	780	16646
224	784	16647
225	788	16658
226	792	16661
227	796	16679
228	801	16691
229	805	16698
230	809	16707
231	813	16715
232	817	16723
233	821	16727
234	824	16724
235	828	16729
236	831	16720
237	836	16727
238	839	16720
239	843	16720
240	846	16718
241	850	16715
242	853	16705
243	856	16698
244	860	16695
245	863	16691
246	867	16688
247	870	16680
248	873	16667
249	876	16659
250	880	16660
251	883	16650
252	887	16644
253	890	16634
254	893	16622
255	896	16619
256	900	16612
257	903	16603
258	906	16599
259	910	16590
260	913	16581
261	916	16577
262	919	16568
263	923	16563
264	926	16560
265	930	16552
266	933	16546
267	936	16538
268	940	16532
269	943	16529
270	947	16528
271	950	16520
272	953	16517
273	957	16515
274	960	16502
275	963	16491
276	966	16487
277	970	16481
278	973	16470
279	976	16460
280	979	16456
281	983	16450
282	986	16444
283	989	16439
284	993	16433
285	996	16428
286	1000	16428
287	1003	16422
288	1007	16417
289	1010	16413
290	1014	16414
291	1017	16404
292	1020	16398
293	1024	16394
294	1027	16385
295	1030	16381
296	1033	16371
297	1037	16362
298	1040	16364
299	1044	16359
300	1047	16353
301	1050	16346
302	1054	16340
303	1057	16333
304	1060	16329
305	1064	16324
306	1067	16319
307	1071	16317
308	1074	16316
309	1077	16304
310	1081	16298
311	1084	16294
312	1087	16288
313	1090	16280
314	1094	16275
315	1097	16266
316	1100	16263
317	1104	16256
318	1107	16247
319	1110	16243
320	1114	16241
321	1117	16241
322	1121	16236
323	1124	16230
324	1127	16225
325	1131	16217
326	1134	16214
327	1138	16212
328	1141	16208
329	1144	16202
330	1148	16200
331	1151	16189
332	1154	16185
333	1158	16182
334	1162	16181
335	1164	16170
336	1168	16165
337	1171	16160
338	1175	16155
339	1178	16152
340	1181	16141
341	1184	16130
342	1187	16128
343	1191	16127
344	1194	16121
345	1198	16117
346	1201	16114
347	1205	16109
348	1208	16108
349	1212	16109
350	1216	16108
351	1219	16105
352	1223	16105
353	1227	16111
354	1231	16118
355	1235	16120
356	1239	16121
357	1243	16123
358	1247	16128
359	1251	16131
360	1255	16132
